date,Buildings Number
2022-04-01,11728
2022-03-01,13497
2022-02-01,11613
2022-01-01,11404
2021-12-01,13730
2021-11-01,11662
2021-10-01,12112
2021-09-01,12359
2021-08-01,13258
2021-07-01,13196
2021-06-01,13783
2021-05-01,12432
2021-04-01,12215
2021-03-01,18693
2021-02-01,12927
2021-01-01,11970
2020-12-01,13190
2020-11-01,13280
2020-10-01,13371
2020-09-01,12849
2020-08-01,12359
2020-07-01,13645
2020-06-01,13770
2020-05-01,12513
2020-04-01,12686
2020-03-01,12410
2020-02-01,10663
2020-01-01,10876
2019-12-01,12195
2019-11-01,11682
2019-10-01,12803
2019-09-01,12380
2019-08-01,12620
2019-07-01,13929
2019-06-01,11826
2019-05-01,13377
2019-04-01,12299
2019-03-01,11848
2019-02-01,10465
2019-01-01,11089
2018-12-01,11919
2018-11-01,11177
2018-10-01,11738
