date,China,France,Germany,Italy,Switzerland,United Kingdom,United States
2020-01,24.8,1.85,1.65,1.75,0.0,2.57,0.0
2020-02,76.99,7.71,10.15,31.17,2.39,11.01,7.18
2020-03,79.53,65.74,48.77,80.42,49.37,36.63,45.86
2020-04,60.21,87.96,76.85,90.65,72.66,79.63,72.69
2020-05,74.68,80.08,63.84,73.68,61.74,74.23,72.69
2020-06,78.49,66.2,61.33,67.59,44.51,70.87,70.71
2020-07,78.24,48.09,56.79,66.99,39.2,65.38,68.98
2020-08,78.24,47.37,57.93,66.61,43.06,67.64,68.98
2020-09,60.09,48.4,50.5,65.8,43.06,65.57,67.22
2020-10,63.07,50.17,55.21,68.01,33.18,67.89,66.2
2020-11,69.48,78.33,62.18,81.79,58.06,68.33,71.48
2020-12,79.08,68.91,75.48,80.86,59.2,72.36,71.88
2021-01,78.24,63.89,83.51,76.55,60.19,86.89,71.76
2021-02,74.07,62.21,82.87,75.92,60.19,87.5,68.32
2021-03,52.99,66.88,76.7,79.33,60.19,79.75,62.83
2021-04,74.47,74.01,75.0,78.67,56.49,64.51,54.53
2021-05,68.44,60.72,74.82,70.55,50.84,61.15,57.27
2021-06,74.29,51.35,69.44,70.84,47.53,52.87,56.92
2021-07,73.88,41.15,69.44,61.31,44.44,48.28,49.45
2021-08,79.17,43.1,55.86,53.79,44.44,43.98,51.81
2021-09,77.32,43.42,37.85,57.34,47.78,42.03,52.38
2021-10,78.45,41.78,30.34,52.42,50.0,42.46,52.22
2021-11,79.17,40.99,37.42,49.84,50.0,43.6,51.47
2021-12,79.17,43.52,42.92,50.69,51.08,42.73,48.84
2022-01,79.05,46.9,41.49,53.03,54.69,39.38,46.76
2022-02,79.17,37.74,38.66,48.97,35.45,32.6,45.19
2022-03,79.17,23.43,36.68,43.7,14.81,21.89,36.13
2022-04,78.92,18.82,16.03,36.45,11.11,16.42,29.21
